OBFCM data source,ID,OBFCM ReportingPeriod,Registration Year,Total fuel consumed (lifetime) (l),Total distance travelled (lifetime) (km),Total distance travelled in charge depleting operation with engine off (lifetime) (km),Total distance travelled in charge depleting operation with engine running (lifetime) (km),Total distance travelled in driver-selectable charge increasing operation (lifetime)  (km),Total fuel consumed in charge depleting operation (lifetime) (l),Total fuel consumed in driver-selectable charge increasing operation (lifetime) (l),Total grid energy into the battery (lifetime) (kWh),Used in calculation
OEM,10109731,2021,2021,1.3,4.8,0,0,0,0,0,0,0
OEM,9814486,2021,2021,1.5,7.8,0,0,0,0,0,0,0
OEM,6534711,2021,2021,1,3.5,0,0,0,0,0,0,0
OEM,8851261,2021,2021,1.7,6.2,0,0,0,0,0,0,0
OEM,8851266,2021,2021,1.5,7.2,0,0,0,0,0,0,0
OEM,8851273,2021,2021,2.2,9.7,0,0,0,0,0,0,0
OEM,8851274,2021,2021,2.3,14.9,0,0,0,0,0,0,0
OEM,8851277,2021,2021,1.5,6.5,0,0,0,0,0,0,0
OEM,8851280,2021,2021,1.9,8,0,0,0,0,0,0,0
OEM,8851281,2021,2021,4,32.8,0,0,0,0,0,0,0
OEM,8910583,2021,2021,1.2,6,0,0,0,0,0,0,0
OEM,8910585,2021,2021,2.6,17.4,0,0,0,0,0,0,0
OEM,8910586,2021,2021,1.6,6.2,0,0,0,0,0,0,0
OEM,8910596,2021,2021,2.3,8.7,0,0,0,0,0,0,0
OEM,8910598,2021,2021,1.4,5.5,0,0,0,0,0,0,0
OEM,8910607,2021,2021,2.2,7.2,0,0,0,0,0,0,0
OEM,8910614,2021,2021,1.4,8.7,0,0,0,0,0,0,0
OEM,8910617,2021,2021,1.2,4.1,0,0,0,0,0,0,0
OEM,8910618,2021,2021,1.2,5.2,0,0,0,0,0,0,0
OEM,8910619,2021,2021,1.1,4.6,0,0,0,0,0,0,0
OEM,8910620,2021,2021,1.3,5.2,0,0,0,0,0,0,0
OEM,8910621,2021,2021,4.6,60.1,0,0,0,0,0,0,0
OEM,8910631,2021,2021,2.1,7.2,0,0,0,0,0,0,0
OEM,8910632,2021,2021,1.5,4.1,0,0,0,0,0,0,0
OEM,8910642,2021,2021,1.5,3.8,0,0,0,0,0,0,0
OEM,8910649,2021,2021,1.2,4,0,0,0,0,0,0,0
OEM,8910650,2021,2021,1,4.6,0,0,0,0,0,0,0
OEM,8910652,2021,2021,1.8,3.2,0,0,0,0,0,0,0
OEM,8910668,2021,2021,1.6,3.7,0,0,0,0,0,0,0
OEM,8910672,2021,2021,1.4,6.1,0,0,0,0,0,0,0
OEM,8910708,2021,2021,1.1,3.9,0,0,0,0,0,0,0
OEM,8910709,2021,2021,1,4.5,0,0,0,0,0,0,0
OEM,63007914,2021,2021,604,6015,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007386,2021,2021,3,6,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,63007426,2021,2021,797,8463,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007518,2021,2021,655,5830,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007738,2021,2021,990,10023,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007267,2021,2021,763,7418,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007221,2021,2021,1395,14998,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007797,2021,2021,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,63006634,2021,2021,657,6375,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63006410,2021,2021,670,5917,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007562,2021,2021,2,4,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,63007446,2021,2021,6892,66232,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007174,2021,2021,1444,12242,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007364,2021,2021,2733,30311,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007363,2021,2021,1387,14830,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63008123,2021,2021,847,10152,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63008141,2021,2021,2,11,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,63008219,2021,2021,2,7,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,63007865,2021,2021,1489,15197,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007068,2021,2021,2859,33527,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007089,2021,2021,2145,24185,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63006854,2021,2021,2337,22943,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007343,2021,2021,663,8383,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007254,2021,2021,1024,14526,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007832,2021,2021,1146,16998,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007097,2021,2021,510,5640,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63006808,2021,2021,1371,19274,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63006738,2021,2021,938,11109,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,63007344,2021,2021,1207,15982,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,9470854,2021,2021,642,6369,0,0,0,0,0,0,1
OEM,9470855,2021,2021,145,1428,0,0,0,0,0,0,1
OEM,9469422,2021,2021,388,3680,0,0,0,0,0,0,1
OEM,9470580,2021,2021,1086,10224,0,0,0,0,0,0,1
OEM,9470581,2021,2021,1831,18790,0,0,0,0,0,0,1
OEM,9470582,2021,2021,1010,9509,0,0,0,0,0,0,1
OEM,9463398,2021,2021,72,526,0,0,0,0,0,0,1
OEM,10185375,2021,2021,1989,19575,0,0,0,0,0,0,1
OEM,9853197,2021,2021,405.9,6579.8,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5742584,2021,2021,401,5332,0,0,0,0,0,0,1
OEM,5747293,2021,2021,330,2851,0,0,0,0,0,0,1
OEM,5717844,2021,2021,790,14007,0,0,0,0,0,0,1
OEM,5736260,2021,2021,993,13459,0,0,0,0,0,0,1
OEM,8888075,2021,2021,1452.5,20785.3,0,0,0,0,0,0,1
OEM,8888140,2021,2021,267.5,3596.1,0,0,0,0,0,0,1
OEM,8888141,2021,2021,1252.3,20466.2,0,0,0,0,0,0,1
OEM,8888144,2021,2021,426.3,4077,0,0,0,0,0,0,1
OEM,9988438,2021,2021,554.68,4772.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,9988664,2021,2021,1735.13,15185.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10320275,2021,2021,580.85,4278.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10320277,2021,2021,94.58,920.8,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10320279,2021,2021,3.28,12.2,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,10320282,2021,2021,22.29,203.3,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,10320285,2021,2021,3.09,11.7,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,10320307,2021,2021,634.69,5767.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10320415,2021,2021,42.61,447.6,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,10320419,2021,2021,139.95,1471.4,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10320423,2021,2021,31.68,280.7,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,10321683,2021,2021,79.23,1196.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10321698,2021,2021,7.74,53.7,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,10321770,2021,2021,55.04,848.3,NULL,NULL,NULL,NULL,NULL,NULL,1
